Source,Target,Number_synapses,Number_sections,Type
ADF,AIY,2,4,Chemical
ADF,AIY,2,7,Electrical
ADF,AIZ,23,70,Chemical
ADL,AIA,8,12,Chemical
ADL,AIB,53,114,Chemical
AFD,AIY,46,113,Chemical
AFD,AIZ,1,1,Chemical
AFD,AIZ,2,6,Electrical
AIA,AIA,1,5,Chemical
AIA,AIA,1,3,Electrical
AIA,AIB,18,63,Chemical
AIB,AIA,1,3,Chemical
AIB,AIB,2,4,Chemical
AIB,AIB,2,25,Electrical
AIB,AIZ,1,1,Chemical
AIY,AIB,3,8,Chemical
AIY,AIB,2,16,Electrical
AIY,AIY,1,6,Electrical
AIY,AIZ,32,145,Chemical
AIZ,AIB,16,72,Chemical
AIZ,AIY,1,3,Chemical
AIZ,AIZ,2,6,Chemical
AIZ,AIZ,2,14,Electrical
ASE,AIA,10,21,Chemical
ASE,AIB,10,28,Chemical
ASE,AIY,1,2,Chemical
ASG,AIA,14,31,Chemical
ASG,AIB,6,11,Chemical
ASG,AIZ,1,4,Chemical
ASG,AIZ,1,2,Electrical
ASH,AIA,10,25,Chemical
ASH,AIA,1,2,Electrical
ASH,AIB,15,22,Chemical
ASH,AIY,18,26,Chemical
ASI,AIA,4,8,Chemical
ASI,AIB,12,25,Chemical
ASI,AIY,8,12,Chemical
ASI,AIZ,15,22,Chemical
ASJ,AIA,2,4,Chemical
ASJ,AIB,1,1,Chemical
ASK,AIA,30,61,Chemical
ASK,AIB,2,4,Chemical
ASK,AIB,1,1,Electrical
AWA,AIA,2,2,Chemical
AWA,AIB,19,45,Chemical
AWA,AIY,13,30,Chemical
AWA,AIZ,21,46,Chemical
AWA,AIZ,2,11,Electrical
AWB,AIA,5,12,Chemical
AWB,AIB,5,10,Chemical
AWB,AIY,1,5,Chemical
AWB,AIZ,4,7,Chemical
AWB,AIZ,3,6,Electrical
AWC,AIA,1,2,Chemical
AWC,AIB,14,22,Chemical
AWC,AIY,30,82,Chemical
AWC,AIZ,2,3,Chemical
